Date,Open,High,Low,Close,Adj Close,Volume
2022-06-20,118.977577
2022-06-21,118.884758
2022-06-22,113.308388
2022-06-23,116.167274
2022-06-24,114.539825
2022-06-25,115.271767
2022-06-26,113.079803
2022-06-27,111.426849
2022-06-28,103.172318
2022-06-29,104.404900
2022-06-30,102.734779
2022-07-01,101.418022
2022-07-02,106.480820
2022-07-03,105.580055
2022-07-04,108.132393
2022-07-05,104.315605
2022-07-06,106.165009
2022-07-07,111.642029
2022-07-08,109.007423
2022-07-09,111.579353
2022-07-10,107.043182
2022-07-11,99.303749
2022-07-12,97.541748
2022-07-13,99.676964
