Date,Price,CoinsHeld,Addresses
17/4/2022,328.70,2815017,11615
18/4/2022,340.02,2819797,11624
19/4/2022,340.40,2815017,11615
20/4/2022,330.72,2815017,11615
21/4/2022,315.88,2815017,11615
22/4/2022,320.97,2815017,11615
23/4/2022,313.45,2823499,11636
24/4/2022,308.14,2823499,11636
25/4/2022,314.77,2823499,11636
26/4/2022,295.91,2833192,11684
27/4/2022,307.33,2839664,11716
28/4/2022,306.73,2836996,11714
29/4/2022,294.71,2833615,11710
30/4/2022,278.67,2819545,11664
1/5/2022,284.41,2816314,11651
2/5/2022,285.09,2824225,11691
3/5/2022,279.48,2821546,11694
4/5/2022,299.86,2819829,11721
5/5/2022,277.29,2816055,11686
6/5/2022,274.98,2805083,11602
7/5/2022,268.71,2805450,11598
8/5/2022,261.52,2799210,11552
